Station Name,IBNR
Beetz-Sommerfeld,08011125
Behringersdorf,08000850
Behringersmühle,08070319
Beienheim,08000851
Beilrode,08011131
Beimerstetten,08000858
Beldorf,08000860
Belgershain,08011132
Belleben,08011133
Bellenberg,08000862
Bellheim Am Mühlbuckel,08000861
Bellheim Bf,08000863
Bempflingen,08000865
Benediktbeuern,08000869
Bengel,08000870
Benneckenstein,08017002
Bennemühlen,08000871
Bennewitz,08013362
Bennigsen,08000872
Benningen(Neckar),08000873
Bennungen,08011138
Bensersiel,08006636
Bensersiel NE,08098555
Benshausen,08011139
Bensheim,08000031
Bensheim-Auerbach,08000877
Bentwisch,08011140
Beratzhausen,08000882
Berbisdorf,08011142
Berbisdorf Anbau,08011143
Berchtesgaden Hbf,08000885
Berenbach,08070789
Berg(Pfalz),08000890
Berga(Elster),08011144
Berga-Kelbra,08010032
Bergen auf Rügen,08010033
Bergen(Oberbay),08000888
Bergen(R) Busbf,08081533
Bergenweiler,08000889
Bergfeld,08011146
Bergfelde(b Berlin),08080100
Berghausen Am Stadion,08007864
Berghausen Pfinzbrücke,08007863
Berghausen(b Wittgenstein),08000892
Berghausen(Baden),08000893
Berghausen(Pfalz),08000894
Bergheim(Erft),08000355
Bergisch Gladbach,08000899
Bergsdorf,08011149
Bergsdorf Dorf,08070954
Bergtheim,08000902
Bergwitz,08011150
Beringen Bad Bf,08000903
Beringerfeld,08000901
Beringhausen,08000904
Beringstedt,08000905
Berka(Wipper),08011152
Berkenbrück,08011154
Berlin Alexanderplatz,08011155
Berlin Alexanderplatz (S),08089001
Berlin Alt-Reinickendorf,08089103
Berlin Anhalter Bf,08089002
Berlin Attilastr.,08089003
Berlin Baumschulenweg,08089004
Berlin Bellevue,08089005
Berlin Betriebsbf Rummelsburg,08089006
Berlin Betriebsbf Schöneweide,08089007
Berlin Beusselstraße,08089118
Berlin Beusselstraße (SEV),08070966
Berlin Bornholmer Str.,08089008
Berlin Botanischer Garten,08089009
Berlin Brandenburg Flughafen,08011201
Berlin Brandenburg Flughafen (S-Bahn),08089201
Berlin Brandenburger Tor,08089044
Berlin Buckower Chaussee,08089010
Berlin Bundesplatz,08089107
Berlin Busbf (ZOB) am Funkturm,08089160
Berlin Eichborndamm,08089101
Berlin Feuerbachstr.,08089012
Berlin Frankfurter Allee,08089013
Berlin Friedrichstraße,08011306
Berlin Gehrenseestr.,08089014
Berlin Gesundbrunnen,08011102
Berlin Gesundbrunnen(S),08089015
Berlin Greifswalder Str,08089011
Berlin Grünbergallee,08089016
Berlin Hackescher Markt,08089017
Berlin Hbf,08011160
Berlin Hbf (Europaplatz),08070952
Berlin Hbf (S-Bahn),08089021
Berlin Hbf (tief),08098160
Berlin Heerstraße,08089329
Berlin Heidelberger Platz,08089112
Berlin Hermannstraße,08089105
Berlin Hohenzollerndamm,08089108
Berlin Humboldthain,08089018
Berlin Innsbrucker Platz,08089106
Berlin Jannowitzbrücke,08089019
Berlin Julius-Leber-Brücke,08089537
Berlin Jungfernheide,08011167
Berlin Jungfernheide (S),08089100
Berlin Karl-Bonhoeffer-Nervenklinik,08089102
Berlin Köllnische Heide,08089104
Berlin Landsberger Allee,08089020
Berlin Mehrower Allee,08089022
Berlin Messe Nord/ICC (Witzleben),08089110
Berlin Messe Süd (Eichkamp),08089328
Berlin Mexikoplatz,08089023
Berlin Nöldnerplatz,08089026
Berlin Nordbahnhof,08089024
Berlin Olympiastadion,08089330
Berlin Oranienburger Straße,08089027
Berlin Osdorfer Straße,08089473
Berlin Ostbahnhof,08010255
Berlin Ostkreuz,08089028
Berlin Plänterwald,08089030
Berlin Poelchaustr.,08089031
Berlin Potsdamer Platz,08011118
Berlin Potsdamer Platz (S),08089032
Berlin Prenzlauer Allee,08089033
Berlin Priesterweg,08089034
Berlin Raoul-Wallenberg-Str.,08089035
Berlin Rathaus Steglitz,08089036
Berlin Savignyplatz,08089037
Berlin Schichauweg,08089038
Berlin Schönhauser Allee,08089039
Berlin Sonnenallee,08089327
Berlin Springpfuhl,08089040
Berlin Storkower Str,08089041
Berlin Südende,08089115
Berlin Südkreuz,08011113
Berlin Südkreuz (S),08089073
Berlin Sundgauer Str,08089042
Berlin Treptower Park,08089043
Berlin Wannsee,08010405
Berlin Warschauer Straße,08089045
Berlin Westend,08089111
Berlin Westhafen,08089116
Berlin Westkreuz,08089047
Berlin Wollankstraße,08089048
Berlin Wuhletal,08089049
Berlin Yorckstr.(S1),08089051
Berlin Yorckstr.(S2),08089050
Berlin Zoologischer Garten,08010406
Berlin-Adlershof,08089052
Berlin-Altglienicke,08089054
Berlin-Biesdorf,08089055
Berlin-Blankenburg,08089056
Berlin-Buch,08089057
Berlin-Charlottenburg,08010403
Berlin-Friedenau,08089058
Berlin-Friedrichsfelde Ost,08089059
Berlin-Friedrichshagen,08089060
Berlin-Frohnau,08089061
Berlin-Grünau,08089063
Berlin-Grunewald,08089062
Berlin-Grunewald (N),08099509
Berlin-Halensee,08089109
Berlin-Heiligensee,08089025
Berlin-Hermsdorf,08089064
Berlin-Hirschgarten,08089065
Berlin-Hohenschönhausen,08011901
Berlin-Karlshorst,08010035
Berlin-Karow,08011046
Berlin-Kaulsdorf,08089068
Berlin-Köpenick,08089069
Berlin-Lankwitz,08089114
Berlin-Lichtenberg,08010036
Berlin-Lichtenrade,08089070
Berlin-Lichterf. Schwelmer Straße,08087112
Berlin-Lichterfelde Bogenstraße,08087105
Berlin-Lichterfelde Feldstraße,08087106
Berlin-Lichterfelde Giesensdorfer Str,08087107
Berlin-Lichterfelde Hochbergsweg,08087108
Berlin-Lichterfelde Jungfernstieg,08087109
Berlin-Lichterfelde Lindenstraße,08087054
Berlin-Lichterfelde Ost,08011041
Berlin-Lichterfelde Ost (S),08089113
Berlin-Lichterfelde Schulzentrum,08087111
Berlin-Lichterfelde Süd,08089472
Berlin-Lichterfelde West,08089071
Berlin-Mahlsdorf,08089072
Berlin-Marienfelde,08089074
Berlin-Marzahn,08089075
Berlin-Neukölln,08089077
Berlin-Nikolassee,08089078
Berlin-Oberspree,08089079
Berlin-Pankow,08089080
Berlin-Pankow-Heinersdorf,08089081
Berlin-Pichelsberg,08089331
Berlin-Rahnsdorf,08089082
Berlin-Rummelsburg,08089084
Berlin-Schlachtensee,08089085
Berlin-Schöneberg,08089474
Berlin-Schönefeld Flugh. ILA,08070270
Berlin-Schönefeld Flughafen,08010109
Berlin-Schöneweide,08010041
Berlin-Schönholz,08089087
Berlin-Schulzendorf,08089000
Berlin-Spandau,08010404
Berlin-Spindlersfeld,08089088
Berlin-Staaken,08013021
Berlin-Stresow,08089053
Berlin-Tegel (S),08089089
Berlin-Tempelhof,08089090
Berlin-Tiergarten,08089091
Berlin-Waidmannslust,08089092
Berlin-Wartenberg,08089093
Berlin-Wedding,08089131
Berlin-Wilhelmshagen,08089094
Berlin-Wilhelmsruh,08089095
Berlin-Wittenau (Wilhelmsruher Damm),08089096
Berlin-Wuhlheide,08089097
Berlin-Zehlendorf,08089098
Bermatingen-Ahausen,08000909
Bernau a Chiemsee,08000911
Bernau(b Berlin),08013470
Bernau-Friedenstal,08089099
Bernburg,08010043
Bernburg-Friedenshall,08011168
Bernburg-Strenzfeld,08011169
Bernburg-Waldau,08011170
Berne,08000913
Bernried,08000918
Bernsgrün,08011171
Bernterode,08011172
Bersenbrück,08000919
Berstadt-Wohnbach,08000920
Berthelsdorf(Erzgeb),08010044
Berthelsdorf(Erzgebirge) Ort,08017219
Bertsdorf,08010045
Berzhahn,08000921
Besch,08000923
Besigheim,08000925
Besseringen,08000926
Bestensee,08011173
Bestwig,08000927
Bettmannsäge,08000928
Betzdorf(Sieg),08000034
Beucha,08010046
Beucha Ost,08011176
Beuchow,08013539
Beuggen,08000932
Beuna(Geiseltal),08011177
Beuren,08011178
Beuron,08000933
Beutelsbach,08000934
Beutersitz,08011179
Bexbach,08000941
Beyendorf,08011181
Bibelöd,08000946
Biberach(Baden),08000942
Biberach(Riß),08000943
Biberach(Riß) Süd,08000944
Biblis,08000503
Bibra,08011183
Bichl,08000945
Bickenbach(Bergstr),08000948
Biebesheim,08000951
Biedenkopf,08000952
Biedenkopf-Schulzentrum,08000954
Biederitz,08010047
Bielefeld Hbf,08000036
Bielefeld Ost,08000953
Bielefeld-Senne,08000956
Biendorf,08011184
Bienenbüttel,08000955
Bienenmühle,08011185
Bierbach,08000357
Bieren-Rödinghausen,08000957
Bieringen,08000959
Biersdorf(Westerw),08007076
Biersdorf-Ort(Ww),08007113
Biesenrode,08011187
Biesenthal,08011188
Biessenhofen,08000962
Bietigheim(Baden),08000963
Bietigheim-Bissingen,08000038
Bietingen,08000965
Bigge,08000966
Bildstock,08000967
Bilfingen,08000968
Billenhausen,08000969
Billerbeck,08000970
Binau,08000973
Binde-Kaulitz,08011189
Bindfelde,08011190
Bindlach,08000974
Bingen(Rhein) Hbf,08000039
Bingen(Rhein) KD,08075968
Bingen(Rhein) Stadt,08000976
Bingen-Gaulsheim,08000975
Binolen,08000978
Binsfeld,08071257
Binz LB,08011193
Binzen,08070323
Birach,08007102
Birgden,08070324
Birkelbach,08000983
Birkenau,08000984
Birkenbringhausen,08000985
Birkenfeld(Enz),08000986
Birkengrund,08080170
Birkenmoor,08017003
Birkenstein,08070002
Birkenwerder Clara-Zetkin-Str,08079556
Birkenwerder(b Berlin),08080190
Birkungen,08010048
Birresborn,08000989
Bischheim-Gersdorf,08011199
Bischofswerda,08010049
Bischofswiesen,08000997
Bischweier,08000998
Bisingen,08000999
Bispingen,08070326
Bissendorf,08001000
Bitburg,08001001
Bitburg-Erdorf,08001828
Bittelbronn,08001002
Bitterfeld,08010050
Bitterfeld Busbahnhof,08071740
Bitzfeld,08001005
Blaibach(Oberpf),08001003
Blaichach(Allgäu),08001004
Blankenbach,08007282
Blankenberg(Meckl),08010051
Blankenberg(Sieg),08001006
Blankenburg Westend,08011203
Blankenburg(Harz),08013439
Blankenfelde(Teltow-Fläming),08010053
Blankenheim(Sangerhausen),08010054
Blankenheim(Wald),08001008
Blankenloch,08001009
Blankensee(Meckl),08011205
Blankenstein(Saale),08011206
Blaubeuren,08001013
Blaufelden,08001014
Blaustein,08001015
Blechhammer(Thür),08011208
Bleckede,08070329
Bleibach,08001017
Bleichenbach(Oberh),08001018
Bleicherode Ost,08010055
Bleidenstadt,08070330
Blens,08007827
B-Lichterf.Ostpreußend/Osd.Str,08087110
Blieskastel-Lautzkirchen,08001027
Blindheim,08001028
Blönsdorf,08011210
Blumberg(b Berlin),08011211
Blumberg-Rehhahn,08011064
