IBNR,Station Name
8000624,ASD
8000625,Asselheim
8000627,Ashausen
8000630,Asperg
8000631,Mannheim-Friedrichsfeld
8000632,Assenheim(Oberhess)
8000632,Niddatal-Assenheim
8000633,Aßlar
8000634,Aßling(Oberbay)
8000635,Assmannshausen
8000638,Attendorn
8000640,Miltenberg
8000640,MIL
8000643,Au im Murgtal
8000644,Moers
8000644,MO
8000647,Aue-Wingeshausen
8000647,Bad Berleburg-Aue-Wi
8000649,"Auerbach(b Mosbach, Baden)"
8000649,Elztal-Auerbach
8000652,Kirchheimbolanden
8000652,KIB
8000653,Aufhausen(b Erding)
8000655,Aufhausen(Württ)
8000657,Auggen
8000658,Augsburg Haunstetterstraße
8000659,Augsburg Messe
8000660,Augsburg Morellstr.
8000661,Augsburg-Hochzoll
8000662,Augsburg-Oberhausen
8000663,Monsheim
8000664,Augustfehn
8000664,Apen-Augustfehn
8000665,Battenberg-Auhammer
8000667,Montabaur
8000667,MT
8000668,Aumenau
8000668,Villmar-Aumenau
8000669,Aumühle
8000671,Auringen-Medenbach
8000671,Wiesbaden-Auringen-M
8000672,Außenried
8000674,Auw an der Kyll
8000675,Aying
8000677,Hückelhoven-Baal
8000677,Baal(Hückelhoven)
8000678,Baar-Ebenhausen
8000681,Babstadt
8000681,Bad Rappenau-Babstad
8000683,Bacharach
8000685,Bachern
8000686,Bachheim
8000686,Löffingen-Bachheim
8000687,Mülheim(Ruhr)Styrum
8000688,Neufahrn(Niederbay)
8000689,Bad Abbach
8000689,Abbach Bad
8000690,Bad Aibling
8000690,AIB
8000690,Aibling Bad
8000691,Bad Bergzabern
8000691,BZA
8000691,Bergzabern Bad
8000694,Bad Breisig
8000694,Breisig Bad
8000696,Bad Aibling Kurpark
8000697,Bad Driburg(Westf)
8000697,Driburg(Westf) Bad
8000698,Bad Dürkheim
8000698,DÜW
8000698,Dürkheim Bad
8000700,Bad Empfing
8000700,Empfing Bad
8000701,Bad Ems
8000701,Ems Bad
8000702,Bad Ems West
8000702,Ems West Bad
8000704,Bad Friedrichshall-Kochendorf
8000704,Kochendorf(Bad Frie)
8000704,Friedrichshall-K Bad
8000706,Bad Wimpfen Im Tal
8000707,Bad Griesbach(Schwarzwald)
8000707,Griesbach(Schw) Bad
8000708,Bad Dürkheim-Trift
8000708,Dürkheim-Trift Bad
8000710,Bad Höhenstadt
8000710,Höhenstadt Bad
8000711,Bad Hönningen
8000711,Hönningen Bad
8000712,Bad Homburg
8000712,HG
8000712,Homburg Bad
8000713,Bad Honnef(Rhein)
8000713,Honnef(Rhein) Bad
8000714,Bad Kissingen
8000714,KG
8000714,Kissingen Bad
8000715,Bad König
8000715,König Bad
8000716,Bad Kohlgrub
8000716,Kohlgrub Bad
8000717,Bad Kohlgrub Kurhaus
8000717,Kohlgrub Kurhaus Bad
8000718,Bad Krozingen
8000718,Krozingen Bad
8000720,Neumarkt-St Veit
8000721,Bad Liebenzell
8000721,Liebenzell Bad
8000724,Bad Mergentheim
8000724,MGH
8000724,Mergentheim Bad
8000725,Bad Münder(Deister)
8000725,Münder(Deister) Bad
8000726,Bad Münster a Stein
8000726,Münster a Stein Bad
8000727,Bad Münstereifel
8000727,Münstereifel Bad
8000728,Bad Nauheim
8000728,Nauheim Bad
8000729,Bad Neuenahr
8000729,Neuenahr Bad
8000730,Bad Neustadt(Saale)
8000730,NES
8000730,Neustadt(Saale) Bad
8000731,Bad Niedernau
8000731,Rottenburg-B.Niedern
8000731,Niedernau Bad
8000732,Bad Oeynhausen
8000732,OEYN
8000732,Oeynhausen Bad
8000733,Bad Oeynhausen Süd
8000733,Oeynhausen Süd Bad
8000734,Bad Peterstal
8000734,Peterstal Bad
8000735,Bad Pyrmont
8000735,Pyrmont Bad
8000736,Bad Rappenau
8000736,Rappenau Bad
8000737,Bad Reichenhall
8000737,Reichenhall Bad
8000738,Bad Reichenhall-Kirchberg
8000738,Reichenhall-Kir. Bad
8000739,Bad Sachsa
8000739,Sachsa Bad
8000740,Bad Salzdetfurth
8000740,Salzdetfurth Bad
8000741,Bad Salzhausen
8000741,Nidda-Bad Salzhausen
8000741,Salzhausen Bad
8000742,Boppard-Bad Salzig
8000742,Bad Salzig(Boppard)
8000742,Salzig Bad(Boppard)
8000743,Bad Salzschlirf
8000743,Salzschlirf Bad
8000744,Bad Salzuflen
8000744,Salzuflen Bad
8000745,Bad Sassendorf
8000745,Sassendorf Bad
8000746,Bad Schussenried
8000746,Schussenried Bad
8000749,Bad Schwartau
8000749,Schwartau Bad
8000750,Bad Sebastiansweiler-Belsen
8000750,Mössingen-B.Sebasti
8000750,Sebastiansw.Bels Bad
8000751,Bad Segeberg
8000751,SE
8000751,Segeberg Bad
8000752,Bad Soden(Taunus)
8000752,Soden(Taunus) Bad
8000753,Bad Sooden-Allendorf
8000753,Sooden-Allendorf Bad
8000754,Bad St Peter Süd
8000754,Peter Süd Bad St
8000755,Bad St Peter-Ording
8000755,Peter-Ording Bad St
8000756,Bad Steben
8000756,Steben Bad
8000757,Bad Teinach-Neubulach
8000757,Neubulach Teinach Ba
8000757,Teinach Bad
8000758,Bad Tölz
8000758,TÖL
8000758,Tölz Bad
8000759,Bad Salzdetfurth Solebad
