8000340;Freimersheim(Rheinh);;;;;
8000342;Weetzen;Ronnenberg-Weetzen;;;;
8000343;Schöneck(Vogtl) Ferienpark;;;;;
8000344;Wittingen;;;;;
8000346;Borken(Westf);BOR-;;;;
8000347;Glauburg-Stockheim;Stockheim(Oberhess);;;;
8000348;Stolberg(Rheinl)Hbf;;;;;
8000349;Offenbach(Main)Hbf;OF;;;;
8000350;Alsfeld(Oberhess);ALS;;;;
8000351;Altenkirchen(Westerwald);AK;;;;
8000352;Bad Gandersheim;Gandersheim Bad;;;;
8000353;Balingen(Württ);BL;;;;
8000354;Bassum;;;;;
8000355;Bergheim(Erft);BM;;;;
8000356;Villingen-Schwenningen Eisstadion;;;;;
8000357;Bierbach;;;;;
8000358;Bochum-Langendreer;;;;;
8000359;Bodenheim;;;;;
8000360;Bürstadt;;;;;
8000362;Dieburg;DI;;;;
8000363;Dieringhausen;Gummersbach-Dieringh;;;;
8000364;Vienenburg;;;;;
8000365;Dombühl;;;;;
8000366;Villingen(Schwarzw);VS;;;;
8000367;Duisburg-Meiderich Süd;;;;;
8000368;Wabern(Bz Kassel);;;;;
8000369;Eberbach;;;;;
8000370;Ehrang;;;;;
8000371;Einöd(Saar);;;;;
8000372;Enkenbach;;;;;
8000373;Eppingen;;;;;
8000374;Freinsheim;;;;;
8000375;Gau Algesheim;;;;;
8000376;Germersheim;GER;;;;
8000377;Weinheim(Bergstr);;;;;
8000378;Wemmetsweiler Rathaus;;;;;
8000379;Wittlich Hbf;WIL-;;;;
8000380;Goldshöfe;;;;;
8000381;Grötzingen;Karlsruhe-Grötz. Bf;;;;
8000382;Gronau(Westf);;;;;
8000383;Wetzlar;WZ;;;;
8000384;Groß-Umstadt Wiebelsbach;;;;;
8000385;Gunzenhausen;GUN;;;;
8000386;Haiger;;;;;
8000387;Hergatz;;;;;
8000388;Hilden;;;;;
8000389;Hochdorf(b Horb);Nagold-Hochdorf;;;;
8000390;Hochneukirch;Jüchen-Hochneukirch;;;;
8000391;Holzminden;HOL;;;;
8000392;Holzwickede;;;;;
8000393;Villingen-Schwenningen Hammerstatt;;;;;
8000400;Hungen;;;;;
8000402;Karthaus;Konz-Karthaus;;;;
8000403;Aachen Süd(Gr);ACSG;;;;
8000404;Aachen West;;;;;
8000406;Aachen-Rothe Erde;;;;;
8000409;Kempen(Niederrhein);;;;;
8000410;Abensberg;;;;;
8000412;Achern;;;;;
8000413;Achim;;;;;
8000414;Achmer;;;;;
8000416;Achterwehr;;;;;
8000418;Adelebsen;;;;;
8000419;Adelschlag;;;;;
8000420;Adelsdorf(Mittelfr);Neuhof/Zenn-Adelsdorf;;;;
8000423;Adelsheim Nord;;;;;
8000424;Adelsheim Ost;;;;;
8000427;Kirchen;;;;;
8000430;Kaarster See;;;;;
8000431;Affaltrach;Obersulm-Affaltrach;;;;
8000432;Kaarst Mitte/Holzbüttgen;Holzbüttgen/Kaarst;Kaarst Mitte/Holzbü.;;;
8000433;Agatharied;Hausham-Agatharied;;;;
8000434;Agathenburg;;;;;
8000435;Kirchhain(Bz Kassel);;;;;
8000436;Aha;Schluchsee-Aha;;;;
8000437;Ahaus;AH;;;;
8000438;Kaarst IKEA;;;;;
8000440;Schnega;;;;;
8000441;Ahlen(Westf);;;;;
8000442;Ahlhorn;;;;;
8000443;Ahlten;Lehrte-Ahlten;;;;
8000445;Soltendieck;;;;;
8000446;Ahrensburg;;;;;
8000448;Ahrweiler;AW;Bad Neuenahr-Ahrweil;;;
8000449;Ahrweiler Markt;Bad Neuenahr-Ahrw-Ma;;;;
8000451;Aich(Niederbay);Aich Niederbayern Bf;Bodenkirchen-Aich Bf;;;
8000452;Aichach;AIC;;;;
8000453;Freiburg Messe/Universität;;;;;
8000454;Aichstetten;;;;;
8000456;Tuttlingen Nord;;;;;
8000457;Ahnatal Casselbreite;;;;;
8000459;Ainring;;;;;
8000462;Münster-Albachten;;;;;
8000463;Albbruck;;;;;
8000464;Albersdorf;;;;;
8000466;Albersweiler(Pfalz);;;;;
8000468;Albig;;;;;
8000469;Nürnberg-Herrnhütte;;;;;
8000471;Albshausen;Solms-Albshausen;;;;
8000473;Albstadt-Ebingen;;;;;
8000474;Albstadt-Laufen Ort;;;;;
8000475;Albstadt-Lautlingen;;;;;
8000477;Aldekerk;Kerken-Aldekerk;;;;
8000479;Kitzingen;KT;;;;
8000480;Ahrensburg-Gartenholz;;;;;
8000481;Aldingen(b Spaichingen);;;;;
8000482;Aletshausen;;;;;
8000483;Alfeld(Leine);;;;;
8000488;Algermissen;;;;;
8000489;Aligse;;;;;
8000491;Altenglan;;;;;
8000492;Allendorf(Dillkr);Haiger-Allendorf;;;;
8000493;Allendorf(Eder) Bf;;;;;
8000495;Alfter-Impekoven;;;;;
8000496;Allensbach;;;;;
8000498;Allersberg(Rothsee);;;;;
8000499;Allmendingen;;;;;
8000500;Alpen;;;;;
8000501;Alpirsbach;;;;;
8000502;Alsdorf-Annapark;;;;;
8000503;Biblis;;;;;
8000504;Altdorf West;;;;;
8000505;Alsenz;;;;;
8000506;Alsheim;;;;;
8000507;Alsdorf-Busch;;;;;
8000508;Altbach;Esslingen Altbach;;;;
8000509;Altdorf(b Nürnberg);;;;;
8000510;Alsdorf Poststraße;;;;;
8000511;Alte Veste;Fürth Alte Veste;;;;
8000512;Hamburg Alte Wöhr;Alte Wöhr;;;;
8000513;Altena(Westf);AL;;;;
8000514;Altenahr;;;;;
8000515;Altenau(Bay);Saulgrub-Altenau;;;;
8000517;Altenbamberg;;;;;
8000518;Altenberge;;;;;
8000520;Felsberg-Altenbrunslar;Altenbrunslar;;;;
8000521;Alsdorf-Kellersberg;;;;;
8000522;Hude;;;;;
8000524;Altenerding;;;;;
8000525;Altenfeld(Rhön);Gersfeld-Altenfeld;;;;
8000526;Altengörs;;;;;
8000527;Alsdorf-Mariadorf;;;;;
8000530;Altenhasungen;Wolfhagen-Altenhasungen;;;;
8000532;Lennestadt-Altenhundem;Altenhundem;;;;
8000533;Altenmarkt(Alz);;;;;
8000534;Muhr a See;;;;;
8000537;Altenseelbach;Neunkirchen-Altensee;;;;
8000538;Altenstadt(Hess);;;;;
8000539;Altenstadt(Iller);;;;;
8000540;Altenstadt(Waldnaab);;;;;
8000544;Altglashütten-Falkau;Feldberg-Altglashü;;;;
8000545;Althegnenberg;;;;;
8000546;Altheim(Hess);Münster-Altheim(Hes;;;;
8000547;Lauterecken-Grumbach;;;;;
8000553;Altmorschen;Morschen-Altmorschen;;;;
8000555;Altötting;AÖ;;;;
8000556;Altomünster;;;;;
8000558;Alzey Süd;;;;;
8000559;Altshausen;;;;;
8000561;Altstädten(Allgäu);Sonthofen-Altstädt.;;;;
8000562;Alttann;Wolfegg-Alttann;;;;
8000563;Lebach;;;;;
8000566;Amberg;AM;;;;
8000569;Münster-Amelsbüren;;;;;
8000571;Lippstadt;LP;;;;
8000575;Amorbach;;;;;
8000576;Ampfing;;;;;
8000577;Amstetten(Württ);;;;;
8000578;Hannover Anderten-Misburg;;;;;
8000579;Angermund;;;;;
8000580;Angersbach;Wartenberg-Angersba.;;;;
8000582;Annweiler am Trifels;;;;;
8000584;Anrath;Willich-Anrath;;;;
8000585;Langenlonsheim;;;;;
8000586;Langwedel;Langwedel Bahnhof;;;;
8000588;Anwanden;Zirndorf-Anwanden;;;;
8000589;Anzefahr;Kirchhain-Anzefahr;;;;
8000590;Anzenkirchen;Triftern-Anzenkirch.;;;;
8000591;Apach(fr);Perl(Gr);;;;
8000595;Nottuln-Appelhülsen;;;;;
8000596;Appenweier;;;;;
8000597;Ardey;Fröndenberg-Ardey;;;;
8000599;Arfurt(Lahn);Runkel-Arfurt(Lahn);;;;
8000601;Bad Münstereifel-Arloff;;;;;
8000602;Armsheim;;;;;
8000603;Arnbach;;;;;
8000605;Arnsberg(Westf);AR;;;;
8000606;Arnschwang;;;;;
8000609;Bad Arolsen;Arolsen Bad;;;;
8000611;Arsbeck;Wegberg-Arsbeck;;;;
8000613;Arzberg(Oberfr);;;;;
8000615;Mainz-Kastel;Wiesbaden-Mainz-Kast;;;;
8000618;Aschaffenburg Hochschule;;;;;
8000619;Aschaffenburg Süd;;;;;
8000621;Aschau(Chiemgau);;;;;
8000623;Ascheberg(Westf);;;;;
8000624;Aschendorf;ASD;;;;
8000625;Asselheim;;;;;
8000627;Ashausen;;;;;
8000630;Asperg;;;;;
8000631;Mannheim-Friedrichsfeld;;;;;
8000632;Assenheim(Oberhess);Niddatal-Assenheim;;;;
8000633;Aßlar;;;;;
8000634;Aßling(Oberbay);;;;;
8000635;Assmannshausen;;;;;
8000638;Attendorn;;;;;
8000640;Miltenberg;MIL;;;;
