clear_station_name,lat,long
swisttal-odendorf,50.64723,6.8806
rheinbach,50.62577,6.95295
rheinbach römerkanal,50.62841,6.95872
berlin-lichterfelde ost (s),52.43293,13.31894
pretzier(altm),52.83361,11.26259
fleetmark,52.79477,11.38772
brunau-packebusch,52.75512,11.50376
kläden(stendal),52.63105,11.65801
wolmirstedt,52.2503,11.62872
neuenhagen(b berlin),52.52686,13.68898
berlin-mahlsdorf (s),52.50542,13.61841
rebdorf-hofmühle,48.89055,11.16588
wasserzell(b eichstätt),48.8748,11.16448
adelschlag,48.83909,11.22281
eitensheim,48.81933,11.32005
gaimersheim,48.8084,11.37012
prora ost,54.44578,13.5688
prora,54.44578,13.5688
lietzow(rügen),52.61492,12.82957
eschhofen bahnhofstraße,50.39405,8.10577
runkel,50.40568,8.15315
villmar rathaus,50.391,8.18992
aumenau,50.40385,8.25053
petershagen nord,52.3625,8.88451
strausberg (s),52.57674,13.88217
strausberg-hegermühle,52.54794,13.86443
blankenheim(wald),50.3709,6.70992
schmidtheim,50.41786,6.55849
dahlem(eifel),50.36581,6.47609
leipzig-knauthain,51.2873,12.31506
zwenkau-großdalzig,51.20754,12.27216
pegau,51.16722,12.25335
profen,51.1252,12.21452
zeitz,51.05037,12.13417
wetterzeube,51.0086,12.01238
crossen ort,50.97761,11.97904
bad köstritz,50.92991,12.01139
gera-langenberg,50.9227,12.05978
plön,54.15843,10.413
fredersdorf(b berlin),52.51421,13.4421
hoppegarten(mark),52.51751,13.67209
birkenstein,52.51784,13.64864
angermund,51.33137,6.78522
gmund(tegernsee),47.75031,11.73862
finsterwald,46.97325,8.10233
moosrain,47.76865,11.72439
warngau,47.83103,11.72258
bad bodendorf,50.55542,7.21807
bempflingen,48.57313,9.26549
oberboihingen,48.64758,9.36573
bietigheim-bissingen,48.96162,9.12689
walheim(württ),49.01099,9.15463
nordheim(württ),49.10853,9.12851
heilbronn sülmertor,49.15135,9.22068
untergriesheim,49.26742,9.22172
herbolzheim(jagst),49.28376,9.26004
neudenau,49.29228,9.27036
siglingen,49.30028,9.30577
züttlingen,49.29864,9.3322
iserlohnerheide,51.42419,7.79637
kalthof(kr iserlohn),51.42067,7.66561
hennen,51.44471,7.64925
schwerte-ergste,51.41594,7.57057
schwerte(ruhr),51.43785,7.56989
dortmund-aplerbeck süd,51.48481,7.55369
bonn-endenich nord,50.73506,7.06146
meckenheim kottenforst,50.65192,7.00456
"hochhaus, biblis",49.69369,8.46404
"freiherr-vom-stein-straße, biblis",49.69125,8.45796
"evangelische kirche, biblis",49.68896,8.45701
"katholische kirche, biblis",49.6842,8.45149
schwarzenbach(saale),50.22347,11.9319
förbau,50.20915,11.906
seulbitz,49.9429,11.6454
gundersheim(rheinhess),49.6963,8.20299
eppelsheim(rheinhess),49.70506,8.16655
alzey süd,49.74372,8.11516
albig,49.77267,8.11732
mühlacker rößlesweg,48.95662,8.85875
berlin-hohenschönhausen (s),52.53481,13.46872
mettenheim,48.26624,12.4646
guntersblum,49.79723,8.34584
dienheim,49.84134,8.35078
rheine-mesum,52.23484,7.48277
nassau(lahn),50.31241,7.79647
radebeul-naundorf,50.93626,13.42201
niederwartha,50.39577,7.60988
cossebaude,51.08725,13.63692
dresden-stetzsch,51.08093,13.65034
dresden-kemnitz,50.81951,12.90579
dresden-cotta,51.05698,13.68694
ismaning,48.22724,11.67631
hallbergmoos,48.31802,11.74526
legden,52.02824,7.10506
